"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
"166","Sundar","Ande","SANDE","011.44.1346.629268","09/13/2020","SA_REP","6400",".1","147","80"
"167","Amit","Banda","ABANDA","011.44.1346.729268","10/11/2020","SA_REP","6200",".1","147","80"
"168","Lisa","Ozer","LOZER","011.44.1343.929268","08/31/2017","SA_REP","11500",".25","148","80"
"169","Harrison","Bloom","HBLOOM","011.44.1343.829268","09/12/2018","SA_REP","10000",".2","148","80"
"170","Tayler","Fox","TFOX","011.44.1343.729268","07/16/2018","SA_REP","9600",".2","148","80"
"171","William","Smith","WSMITH","011.44.1343.629268","08/15/2019","SA_REP","7400",".15","148","80"
"172","Elizabeth","Bates","EBATES","011.44.1343.529268","09/13/2019","SA_REP","7300",".15","148","80"
"173","Sundita","Kumar","SKUMAR","011.44.1343.329268","10/11/2020","SA_REP","6100",".1","148","80"
"174","Ellen","Abel","EABEL","011.44.1644.429267","10/31/2016","SA_REP","11000",".3","149","80"
"175","Alyssa","Hutton","AHUTTON","011.44.1644.429266","09/08/2017","SA_REP","8800",".25","149","80"
"176","Jonathon","Taylor","JTAYLOR","011.44.1644.429265","09/13/2018","SA_REP","8600",".2","149","80"
"177","Jack","Livingston","JLIVINGS","011.44.1644.429264","10/13/2018","SA_REP","8400",".2","149","80"
"178","Kimberely","Grant","KGRANT","011.44.1644.429263","11/13/2019","SA_REP","7000",".15","149",""
"179","Charles","Johnson","CJOHNSON","011.44.1644.429262","06/25/2020","SA_REP","6200",".1","149","80"
"180","Winston","Taylor","WTAYLOR","650.507.9876","07/16/2018","SH_CLERK","3200","","120","50"
"181","Jean","Fleaur","JFLEAUR","650.507.9877","08/15/2018","SH_CLERK","3100","","120","50"
"182","Martha","Sullivan","MSULLIVA","650.507.9878","12/11/2019","SH_CLERK","2500","","120","50"
"183","Girard","Geoni","GGEONI","650.507.9879","07/25/2020","SH_CLERK","2800","","120","50"
"184","Nandita","Sarchand","NSARCHAN","650.509.1876","07/18/2016","SH_CLERK","4200","","121","50"
"185","Alexis","Bull","ABULL","650.509.2876","08/12/2017","SH_CLERK","4100","","121","50"
"186","Julia","Dellinger","JDELLING","650.509.3876","12/14/2018","SH_CLERK","3400","","121","50"
"187","Anthony","Cabrio","ACABRIO","650.509.4876","07/30/2019","SH_CLERK","3000","","121","50"
"188","Kelly","Chung","KCHUNG","650.505.1876","12/04/2017","SH_CLERK","3800","","122","50"
"189","Jennifer","Dilly","JDILLY","650.505.2876","02/02/2018","SH_CLERK","3600","","122","50"
"190","Timothy","Gates","TGATES","650.505.3876","12/31/2018","SH_CLERK","2900","","122","50"
"191","Randall","Perkins","RPERKINS","650.505.4876","06/09/2020","SH_CLERK","2500","","122","50"
"192","Sarah","Bell","SBELL","650.501.1876","07/26/2016","SH_CLERK","4000","","123","50"
"193","Britney","Everett","BEVERETT","650.501.2876","08/23/2017","SH_CLERK","3900","","123","50"
"194","Samuel","McCain","SMCCAIN","650.501.3876","12/21/2018","SH_CLERK","3200","","123","50"
"195","Vance","Jones","VJONES","650.501.4876","09/06/2019","SH_CLERK","2800","","123","50"
"196","Alana","Walsh","AWALSH","650.507.9811","10/14/2018","SH_CLERK","3100","","124","50"
"197","Kevin","Feeney","KFEENEY","650.507.9822","11/12/2018","SH_CLERK","3000","","124","50"
"198","Donald","OConnell","DOCONNEL","650.507.9833","12/11/2019","SH_CLERK","2600","","124","50"
"199","Douglas","Grant","DGRANT","650.507.9844","07/04/2020","SH_CLERK","2600","","124","50"
"200","Jennifer","Whalen","JWHALEN","515.123.4444","03/08/2008","AD_ASST","4400","","101","10"
"201","Michael","Hartstein","MHARTSTE","515.123.5555","08/08/2016","MK_MAN","13000","","100","20"
"202","Pat","Fay","PFAY","603.123.6666","02/06/2018","MK_REP","6000","","201","20"
"203","Susan","Mavris","SMAVRIS","515.123.7777","11/27/2014","HR_REP","6500","","101","40"
"204","Hermann","Baer","HBAER","515.123.8888","11/27/2014","PR_REP","10000","","101","70"
"205","Shelley","Higgins","SHIGGINS","515.123.8080","11/27/2014","AC_MGR","12000","","101","110"
"206","William","Gietz","WGIETZ","515.123.8181","11/27/2014","AC_ACCOUNT","8300","","205","110"
